# time  created  delivered  delivered/created
4817.0000 116 0 0.0000
4872.0000 117 0 0.0000
4899.0000 118 0 0.0000
4948.0000 119 0 0.0000
5004.0000 120 0 0.0000
5049.0000 121 0 0.0000
5080.0000 122 0 0.0000
5114.0000 123 0 0.0000
5152.0000 124 0 0.0000
5188.0000 125 0 0.0000
5244.0000 126 0 0.0000
5296.0000 127 0 0.0000
5352.0000 128 0 0.0000
5409.0000 129 0 0.0000
5459.0000 130 0 0.0000
5510.0000 131 0 0.0000
5552.0000 132 0 0.0000
5600.0000 133 0 0.0000
5650.0000 134 0 0.0000
5707.0000 135 0 0.0000
5749.0000 136 0 0.0000
5796.0000 137 0 0.0000
5843.0000 138 0 0.0000
5879.0000 139 0 0.0000
5930.0000 140 0 0.0000
5980.0000 141 0 0.0000
6034.0000 142 0 0.0000
6084.0000 143 0 0.0000
6124.0000 144 0 0.0000
6164.0000 145 0 0.0000
6223.0000 146 0 0.0000
6265.0000 147 0 0.0000
6311.0000 148 0 0.0000
6338.0000 149 0 0.0000
6376.0000 150 0 0.0000
6423.0000 151 0 0.0000
6467.0000 152 0 0.0000
6516.0000 153 0 0.0000
6570.0000 154 0 0.0000
6602.0000 155 0 0.0000
6656.0000 156 0 0.0000
6702.0000 157 0 0.0000
6737.0000 158 0 0.0000
6779.0000 159 0 0.0000
6832.0000 160 0 0.0000
6879.0000 161 0 0.0000
6915.0000 162 0 0.0000
6957.0000 163 0 0.0000
6994.0000 164 0 0.0000
7043.0000 165 0 0.0000
7082.0000 166 0 0.0000
7131.0000 167 0 0.0000
7158.0000 168 0 0.0000
7188.0000 169 0 0.0000
7240.0000 170 0 0.0000
7281.0000 171 0 0.0000
7321.0000 172 0 0.0000
7357.0000 173 0 0.0000
7391.0000 174 0 0.0000
7419.0000 175 0 0.0000
7469.0000 176 0 0.0000
7509.0000 177 0 0.0000
7558.0000 178 0 0.0000
7598.0000 179 0 0.0000
7649.0000 180 0 0.0000
7703.0000 181 0 0.0000
7733.0000 182 0 0.0000
7759.0000 183 0 0.0000
7797.0000 184 0 0.0000
7829.0000 185 0 0.0000
7885.0000 186 0 0.0000
7941.0000 187 0 0.0000
7983.0000 188 0 0.0000
8009.0000 189 0 0.0000
8060.0000 190 0 0.0000
8098.0000 191 0 0.0000
8127.0000 192 0 0.0000
8165.0000 193 0 0.0000
8210.0000 194 0 0.0000
8254.0000 195 0 0.0000
8297.0000 196 0 0.0000
8328.0000 197 0 0.0000
8363.0000 198 0 0.0000
8389.0000 199 0 0.0000
8440.0000 200 0 0.0000
8465.0000 201 0 0.0000
8519.0000 202 0 0.0000
8547.0000 203 0 0.0000
8586.0000 204 0 0.0000
8639.0000 205 0 0.0000
8693.0000 206 0 0.0000
8747.0000 207 0 0.0000
8796.0000 208 0 0.0000
8835.0000 209 0 0.0000
8860.0000 210 0 0.0000
8887.0000 211 0 0.0000
8921.0000 212 0 0.0000
8958.0000 213 0 0.0000
9010.0000 214 0 0.0000
9067.0000 215 0 0.0000
9111.0000 216 0 0.0000
9138.0000 217 0 0.0000
9187.0000 218 0 0.0000
9218.0000 219 0 0.0000
9261.0000 220 0 0.0000
9299.0000 221 0 0.0000
9331.0000 222 0 0.0000
9379.0000 223 0 0.0000
9426.0000 224 0 0.0000
9476.0000 225 0 0.0000
9522.0000 226 0 0.0000
9569.0000 227 0 0.0000
9600.0000 228 0 0.0000
9627.0000 229 0 0.0000
9670.0000 230 0 0.0000
9695.0000 231 0 0.0000
9735.0000 232 0 0.0000
9779.0000 233 0 0.0000
9833.0000 234 0 0.0000
9858.0000 235 0 0.0000
9914.0000 236 0 0.0000
9950.0000 237 0 0.0000
10000.0000 238 0 0.0000
10054.0000 239 0 0.0000
10086.0000 240 0 0.0000
10121.0000 241 0 0.0000
10152.0000 242 0 0.0000
10202.0000 243 0 0.0000
10257.0000 244 0 0.0000
10305.0000 245 0 0.0000
10358.0000 246 0 0.0000
10413.0000 247 0 0.0000
10463.0000 248 0 0.0000
10513.0000 249 0 0.0000
10547.0000 250 0 0.0000
10603.0000 251 0 0.0000
10651.0000 252 0 0.0000
10678.0000 253 0 0.0000
10708.0000 254 0 0.0000
10752.0000 255 0 0.0000
10794.0000 256 0 0.0000
10852.0000 257 0 0.0000
10891.0000 258 0 0.0000
10942.0000 259 0 0.0000
10980.0000 260 0 0.0000
11021.0000 261 0 0.0000
11055.0000 262 0 0.0000
11090.0000 263 0 0.0000
11142.0000 264 0 0.0000
11186.0000 265 0 0.0000
11233.0000 266 0 0.0000
11264.0000 267 0 0.0000
11306.0000 268 0 0.0000
11350.0000 269 0 0.0000
11387.0000 270 0 0.0000
11425.0000 271 0 0.0000
11451.0000 272 0 0.0000
11493.0000 273 0 0.0000
11533.0000 274 0 0.0000
11570.0000 275 0 0.0000
11603.0000 276 0 0.0000
11645.0000 277 0 0.0000
11686.0000 278 0 0.0000
