# time  created  delivered  delivered/created
37.0000 1 0 0.0000
86.0000 2 0 0.0000
111.0000 3 0 0.0000
159.0000 4 0 0.0000
217.0000 5 0 0.0000
244.0000 6 0 0.0000
300.0000 7 0 0.0000
328.0000 8 0 0.0000
386.0000 9 0 0.0000
411.0000 10 0 0.0000
449.0000 11 0 0.0000
475.0000 12 0 0.0000
516.0000 13 0 0.0000
547.0000 14 0 0.0000
585.0000 15 0 0.0000
642.0000 16 0 0.0000
701.0000 17 0 0.0000
758.0000 18 0 0.0000
784.0000 19 0 0.0000
841.0000 20 0 0.0000
869.0000 21 0 0.0000
910.0000 22 0 0.0000
963.0000 23 0 0.0000
1013.0000 24 0 0.0000
1052.0000 25 0 0.0000
1107.0000 26 0 0.0000
1138.0000 27 0 0.0000
1163.0000 28 0 0.0000
1214.0000 29 0 0.0000
1269.0000 30 0 0.0000
1318.0000 31 0 0.0000
1345.0000 32 0 0.0000
1387.0000 33 0 0.0000
1418.0000 34 0 0.0000
1443.0000 35 0 0.0000
1482.0000 36 0 0.0000
1540.0000 37 0 0.0000
1580.0000 38 0 0.0000
1625.0000 39 0 0.0000
1664.0000 40 0 0.0000
1706.0000 41 0 0.0000
1737.0000 42 0 0.0000
1790.0000 43 0 0.0000
1824.0000 44 0 0.0000
1855.0000 45 0 0.0000
1882.0000 46 0 0.0000
1918.0000 47 0 0.0000
1947.0000 48 0 0.0000
1994.0000 49 0 0.0000
2052.0000 50 0 0.0000
2092.0000 51 0 0.0000
2149.0000 52 0 0.0000
2179.0000 53 0 0.0000
2225.0000 54 0 0.0000
2256.0000 55 0 0.0000
2299.0000 56 0 0.0000
2336.0000 57 0 0.0000
2387.0000 58 0 0.0000
2419.0000 59 0 0.0000
2471.0000 60 0 0.0000
2499.0000 61 0 0.0000
2550.0000 62 0 0.0000
2587.0000 63 0 0.0000
2614.0000 64 0 0.0000
2667.0000 65 0 0.0000
2694.0000 66 0 0.0000
2725.0000 67 0 0.0000
2775.0000 68 0 0.0000
2832.0000 69 0 0.0000
2871.0000 70 0 0.0000
2897.0000 71 0 0.0000
2949.0000 72 0 0.0000
2983.0000 73 0 0.0000
3034.0000 74 0 0.0000
3072.0000 75 0 0.0000
3120.0000 76 0 0.0000
3152.0000 77 0 0.0000
3177.0000 78 0 0.0000
3212.0000 79 0 0.0000
3271.0000 80 0 0.0000
3301.0000 81 0 0.0000
3340.0000 82 0 0.0000
3388.0000 83 0 0.0000
3436.0000 84 0 0.0000
3488.0000 85 0 0.0000
3523.0000 86 0 0.0000
3565.0000 87 0 0.0000
3619.0000 88 0 0.0000
3668.0000 89 0 0.0000
3727.0000 90 0 0.0000
3784.0000 91 0 0.0000
3818.0000 92 0 0.0000
3847.0000 93 0 0.0000
3906.0000 94 0 0.0000
3935.0000 95 0 0.0000
3968.0000 96 0 0.0000
4014.0000 97 0 0.0000
4050.0000 98 0 0.0000
4081.0000 99 0 0.0000
4106.0000 100 0 0.0000
4159.0000 101 0 0.0000
4195.0000 102 0 0.0000
4221.0000 103 0 0.0000
4280.0000 104 0 0.0000
4309.0000 105 0 0.0000
4357.0000 106 0 0.0000
4394.0000 107 0 0.0000
4452.0000 108 0 0.0000
4494.0000 109 0 0.0000
4541.0000 110 0 0.0000
4597.0000 111 0 0.0000
4647.0000 112 0 0.0000
4679.0000 113 0 0.0000
4733.0000 114 0 0.0000
4774.0000 115 0 0.0000
