1.0 C n79 M1
73.10000000000012 CONN n179 n810 up
74.00000000000007 CONN n888 n65 down
74.50000000000004 CONN n891 n217 down
75.89999999999996 CONN n888 n19 down
76.19999999999995 CONN n350 n852 down
76.29999999999994 CONN n888 n705 down
77.29999999999988 CONN n831 n179 up
77.49999999999987 CONN n1056 n903 down
78.19999999999983 CONN n179 n62 down
78.29999999999983 CONN n840 n704 up
78.6999999999998 CONN n75 n891 up
78.6999999999998 CONN n179 n317 down
78.99999999999979 CONN n217 n921 up
79.99999999999973 CONN n368 n465 up
80.79999999999968 CONN n440 n921 up
82.1999999999996 CONN n44 n191 up
83.69999999999952 CONN n368 n852 up
84.79999999999946 CONN n804 n805 up
86.09999999999938 CONN n875 n704 down
87.29999999999932 CONN n704 n179 up
88.39999999999925 CONN n704 n888 down
90.29999999999914 CONN n705 n831 down
91.39999999999908 CONN n704 n350 down
91.59999999999907 CONN n368 n465 down
91.89999999999905 CONN n921 n329 down
92.49999999999902 CONN n852 n368 down
95.69999999999884 CONN n810 n179 down
96.09999999999881 CONN n831 n65 down
96.3999999999988 CONN n534 n268 down
97.39999999999874 CONN n347 n139 down
97.59999999999873 CONN n840 n704 down
102.99999999999842 CONN n27 n852 up
104.29999999999835 CONN n62 n888 up
104.69999999999833 CONN n875 n465 up
105.0999999999983 CONN n888 n831 down
105.89999999999826 CONN n705 n704 down
107.39999999999817 CONN n283 n265 up
108.5999999999981 CONN n19 n831 down
108.99999999999808 CONN n868 n890 up
109.09999999999808 CONN n465 n27 up
109.59999999999805 CONN n179 n888 down
109.79999999999804 CONN n831 n350 down
110.89999999999797 CONN n179 n350 down
111.59999999999793 CONN n888 n317 up
112.39999999999789 CONN n329 n217 up
112.59999999999788 CONN n179 n875 down
112.99999999999785 CONN n50 n68 down
113.09999999999785 CONN n831 n875 down
113.19999999999784 CONN n888 n875 down
113.8999999999978 CONN n179 n19 up
114.99999999999774 CONN n179 n65 up
116.69999999999764 CONN n858 n50 up
117.09999999999762 CONN n350 n46 down
117.3999999999976 CONN n852 n46 down
118.19999999999756 CONN n19 n463 up
119.39999999999749 CONN n463 n65 up
121.29999999999738 CONN n840 n704 up
121.39999999999738 CONN n463 n705 up
121.89999999999735 CONN n46 n27 up
123.19999999999727 CONN n804 n805 down
123.39999999999726 CONN n263 n45 up
123.49999999999726 CONN n705 n704 up
123.79999999999724 CONN n317 n888 down
124.5999999999972 CONN n875 n350 down
124.69999999999719 CONN n704 n463 up
125.69999999999713 CONN n831 n704 down
125.89999999999712 CONN n440 n329 up
127.69999999999702 CONN n875 n27 up
127.999999999997 CONN n810 n62 up
128.89999999999696 CONN n534 n929 up
128.99999999999696 CONN n217 n921 down
129.69999999999692 CONN n217 n472 up
129.8999999999969 CONN n921 n440 down
130.39999999999688 CONN n852 n27 down
130.79999999999686 CONN n888 n810 down
134.59999999999664 CONN n265 n283 down
135.3999999999966 CONN n347 n390 up
136.9999999999965 CONN n472 n440 up
137.2999999999965 CONN n368 n27 down
