1.0 C n79 M1
65.10000000000058 CONN n413 n878 down
65.30000000000057 CONN n538 n832 up
66.60000000000049 CONN n413 n591 down
66.80000000000048 CONN n878 n444 down
68.50000000000038 CONN n18 n1024 down
68.60000000000038 CONN n1024 n833 down
69.00000000000036 CONN n444 n690 down
69.70000000000032 CONN n878 n444 up
71.10000000000024 CONN n444 n7 up
71.90000000000019 CONN n189 n444 up
72.70000000000014 CONN n18 n833 up
72.80000000000014 CONN n213 n710 down
72.90000000000013 CONN n1024 n690 down
73.90000000000008 CONN n51 n189 down
74.00000000000007 CONN n35 n884 up
75.00000000000001 CONN n816 n323 down
75.3 CONN n511 n444 down
75.99999999999996 CONN n705 n853 down
76.29999999999994 CONN n1024 n511 down
76.59999999999992 CONN n1024 n32 down
76.79999999999991 CONN n444 n833 down
77.79999999999986 CONN n591 n32 up
78.39999999999982 CONN n511 n591 up
79.99999999999973 CONN n422 n690 up
80.19999999999972 CONN n444 n705 up
80.39999999999971 CONN n705 n591 down
80.79999999999968 CONN n189 n591 down
81.69999999999963 CONN n7 n833 down
83.49999999999953 CONN n444 n815 down
85.6999999999994 CONN n7 n690 down
86.99999999999933 CONN n591 n18 up
88.09999999999927 CONN n705 n444 down
89.89999999999917 CONN n705 n51 up
90.49999999999913 CONN n7 n18 down
90.79999999999912 CONN n344 n282 down
91.0999999999991 CONN n710 n300 up
91.0999999999991 CONN n705 n878 down
91.49999999999908 CONN n833 n422 up
92.19999999999904 CONN n1024 n705 down
93.99999999999893 CONN n815 n1024 up
94.39999999999891 CONN n1016 n710 up
94.99999999999888 CONN n591 n1024 down
95.29999999999886 CONN n511 n7 down
96.2999999999988 CONN n1024 n413 up
96.69999999999878 CONN n32 n7 down
96.69999999999878 CONN n51 n189 up
97.79999999999872 CONN n591 n444 down
98.29999999999869 CONN n690 n591 up
98.59999999999867 CONN n878 n591 down
99.59999999999862 CONN n422 n511 up
99.7999999999986 CONN n38 n884 down
99.7999999999986 CONN n591 n690 down
101.49999999999851 CONN n1024 n815 down
101.6999999999985 CONN n832 n538 down
102.09999999999847 CONN n884 n513 up
103.19999999999841 CONN n107 n131 down
105.99999999999825 CONN n413 n51 down
106.29999999999824 CONN n7 n1024 down
106.7999999999982 CONN n444 n189 down
107.59999999999816 CONN n25 n271 up
107.79999999999815 CONN n878 n189 down
108.09999999999813 CONN n35 n38 down
109.79999999999804 CONN n815 n189 down
109.79999999999804 CONN n1058 n1061 up
113.29999999999784 CONN n884 n35 down
113.49999999999783 CONN n815 n51 up
113.79999999999781 CONN n189 n705 down
115.29999999999772 CONN n152 n354 up
116.29999999999767 CONN n878 n1024 down
116.39999999999766 CONN n271 n729 down
116.79999999999764 CONN n35 n513 up
118.09999999999756 CONN n413 n705 down
122.59999999999731 CONN n413 n313 up
122.6999999999973 CONN n1024 n444 down
123.39999999999726 CONN n595 n863 up
125.59999999999714 CONN n693 n25 up
127.09999999999705 CONN n271 n693 up
127.19999999999705 CONN n59 n853 up
130.39999999999688 CONN n18 n833 down
131.6999999999968 CONN n884 n513 down
133.3999999999967 CONN n729 n950 up
136.19999999999655 CONN n511 n591 down
137.89999999999645 CONN n1058 n1061 down
138.19999999999644 CONN n7 n878 down
138.8999999999964 CONN n1016 n213 up
138.9999999999964 CONN n815 n51 down
139.39999999999637 CONN n510 n25 up
139.69999999999635 CONN n32 n833 down
139.99999999999633 CONN n51 n1024 up
140.3999999999963 CONN n444 n7 down
141.29999999999626 CONN n51 n705 down
141.79999999999623 CONN n510 n271 up
142.69999999999618 CONN n422 n511 down
143.69999999999612 CONN n51 n1024 down
143.79999999999612 CONN n323 n816 up
144.39999999999608 CONN n816 n323 down
144.59999999999607 CONN n189 n413 down
144.89999999999606 CONN n422 n690 down
144.99999999999605 CONN n413 n1024 down
145.29999999999603 CONN n152 n354 down
145.59999999999602 CONN n300 n213 up
145.799999999996 CONN n417 n448 up
149.79999999999578 CONN n300 n213 down
149.99999999999577 CONN n350 n308 up
152.09999999999565 CONN n189 n51 down
155.99999999999542 CONN n882 n853 up
156.99999999999537 CONN n313 n189 up
157.09999999999536 CONN n1024 n313 up
159.29999999999524 CONN n189 n51 up
159.7999999999952 CONN n591 n7 down
160.0999999999952 CONN n417 n448 down
161.6999999999951 CONN n853 n59 down
162.09999999999508 CONN n308 n350 down
164.49999999999494 CONN n710 n1016 down
166.9999999999948 CONN n18 n511 down
167.29999999999478 CONN n444 n59 up
167.39999999999478 CONN n57 n705 up
169.79999999999464 CONN n595 n863 down
170.5999999999946 CONN n513 n35 down
175.9999999999943 CONN n690 n18 down
176.99999999999423 CONN n878 n59 up
177.89999999999418 CONN n32 n511 down
178.89999999999412 CONN n271 n511 up
179.1999999999941 CONN n413 n313 down
179.69999999999408 CONN n511 n25 up
179.89999999999407 CONN n950 n510 up
182.29999999999393 CONN n511 n693 up
182.49999999999392 CONN n51 n1024 up
183.29999999999387 CONN n815 n57 up
185.99999999999372 CONN n7 n313 up
186.3999999999937 CONN n271 n690 up
188.2999999999936 CONN n413 n59 up
188.99999999999355 CONN n25 n690 up
189.09999999999354 CONN n882 n444 up
190.09999999999349 CONN n690 n693 up
190.99999999999343 CONN n189 n313 down
192.99999999999332 CONN n59 n444 down
195.89999999999316 CONN n1016 n300 down
196.19999999999314 CONN n511 n510 up
197.29999999999308 CONN n853 n882 down
198.19999999999303 CONN n57 n815 down
201.19999999999285 CONN n32 n271 up
201.49999999999284 CONN n32 n690 down
201.79999999999282 CONN n271 n510 down
202.59999999999278 CONN n1032 n413 up
202.99999999999275 CONN n833 n32 up
204.19999999999268 CONN n210 n815 up
204.59999999999266 CONN n51 n57 up
205.6999999999926 CONN n693 n32 up
205.8999999999926 CONN n1024 n51 down
205.99999999999258 CONN n32 n25 up
206.09999999999258 CONN n690 n510 up
206.29999999999256 CONN n57 n189 up
206.79999999999254 CONN n511 n950 up
207.3999999999925 CONN n729 n510 up
208.19999999999246 CONN n705 n57 down
209.59999999999238 CONN n833 n511 down
209.89999999999236 CONN n950 n690 up
210.49999999999233 CONN n59 n878 down
210.49999999999233 CONN n189 n1024 down
210.7999999999923 CONN n25 n950 up
211.0999999999923 CONN n510 n693 down
212.29999999999222 CONN n510 n25 down
212.4999999999922 CONN n882 n878 up
212.4999999999922 CONN n950 n693 up
213.39999999999216 CONN n833 n271 up
213.69999999999214 CONN n25 n833 up
213.69999999999214 CONN n693 n833 up
214.99999999999207 CONN n18 n32 down
215.29999999999205 CONN n833 n690 down
217.7999999999919 CONN n511 n271 down
220.59999999999175 CONN n833 n271 down
220.69999999999175 CONN n690 n271 down
221.19999999999172 CONN n693 n833 down
221.19999999999172 CONN n313 n1024 down
223.0999999999916 CONN n25 n833 down
223.2999999999916 CONN n32 n833 down
223.89999999999156 CONN n690 n25 down
223.89999999999156 CONN n511 n25 down
224.59999999999152 CONN n950 n271 up
224.7999999999915 CONN n444 n853 up
225.29999999999148 CONN n690 n729 up
225.79999999999146 CONN n591 n271 up
225.79999999999146 CONN n511 n729 up
227.19999999999138 CONN n25 n591 up
228.09999999999133 CONN n690 n693 down
230.2999999999912 CONN n32 n950 up
230.89999999999117 CONN n189 n51 down
231.09999999999116 CONN n413 n882 up
231.8999999999911 CONN n413 n59 down
232.2999999999911 CONN n591 n693 up
232.69999999999106 CONN n693 n511 down
233.19999999999104 CONN n444 n882 down
233.699999999991 CONN n51 n210 up
233.999999999991 CONN n25 n950 down
234.59999999999096 CONN n815 n210 down
235.19999999999092 CONN n878 n853 up
236.19999999999087 CONN n950 n271 down
236.29999999999086 CONN n57 n51 down
236.79999999999083 CONN n878 n882 down
237.59999999999079 CONN n381 n407 up
242.3999999999905 CONN n32 n510 up
243.79999999999043 CONN n59 n7 up
244.2999999999904 CONN n32 n729 up
246.69999999999027 CONN n1024 n1032 up
246.99999999999025 CONN n6 n3 up
247.19999999999024 CONN n25 n18 up
247.9999999999902 CONN n189 n57 down
249.39999999999011 CONN n1016 n213 down
251.59999999999 CONN n950 n690 down
251.69999999998998 CONN n1032 n413 down
252.69999999998993 CONN n693 n729 up
254.39999999998983 CONN n18 n271 up
254.9999999999898 CONN n729 n690 down
255.59999999998976 CONN n18 n591 down
256.4999999999898 CONN n51 n210 down
256.69999999998987 CONN n510 n690 down
257.39999999999003 CONN n591 n950 up
257.5999999999901 CONN n475 n183 up
259.4999999999905 CONN n271 n950 up
259.4999999999905 CONN n25 n32 down
259.4999999999905 CONN n1016 n871 up
259.7999999999906 CONN n729 n591 up
260.49999999999073 CONN n950 n511 down
260.7999999999908 CONN n448 n189 up
262.1999999999911 CONN n511 n729 down
262.29999999999114 CONN n710 n300 down
262.39999999999117 CONN n32 n271 down
263.59999999999144 CONN n693 n510 up
264.09999999999155 CONN n271 n729 up
264.7999999999917 CONN n591 n510 up
264.89999999999173 CONN n25 n950 up
266.4999999999921 CONN n7 n57 up
266.9999999999922 CONN n511 n510 down
268.5999999999926 CONN n729 n25 up
269.5999999999928 CONN n107 n131 up
270.59999999999303 CONN n693 n18 up
270.8999999999931 CONN n693 n510 down
273.39999999999367 CONN n1032 n59 up
275.2999999999941 CONN n381 n407 down
275.3999999999941 CONN n422 n833 down
276.5999999999944 CONN n59 n313 up
276.6999999999944 CONN n32 n693 down
277.4999999999946 CONN n1024 n1032 down
277.69999999999465 CONN n183 n475 down
277.79999999999467 CONN n853 n67 up
278.7999999999949 CONN n1032 n7 up
