1.0 C n79 M1
70.20000000000029 CONN n19 n335 up
70.90000000000025 CONN n334 n120 up
71.10000000000024 CONN n358 n101 up
71.10000000000024 CONN n163 n338 down
72.30000000000017 CONN n19 n249 up
73.30000000000011 CONN n264 n120 down
73.30000000000011 CONN n19 n335 down
73.6000000000001 CONN n157 n319 up
74.90000000000002 CONN n120 n264 up
75.49999999999999 CONN n319 n38 down
75.69999999999997 CONN n62 n317 down
75.89999999999996 CONN n120 n9 up
75.99999999999996 CONN n26 n334 down
76.19999999999995 CONN n85 n264 up
76.39999999999993 CONN n65 n72 up
76.59999999999992 CONN n208 n19 down
76.79999999999991 CONN n225 n19 up
76.9999999999999 CONN n19 n26 up
77.29999999999988 CONN n18 n101 up
78.49999999999982 CONN n275 n211 down
79.69999999999975 CONN n249 n69 down
80.4999999999997 CONN n120 n334 down
80.99999999999967 CONN n225 n335 up
81.19999999999966 CONN n225 n249 down
82.09999999999961 CONN n38 n361 up
83.19999999999955 CONN n319 n334 up
83.69999999999952 CONN n26 n157 down
83.89999999999951 CONN n335 n225 down
84.69999999999946 CONN n9 n317 down
84.79999999999946 CONN n358 n101 down
84.89999999999945 CONN n19 n69 up
85.59999999999941 CONN n26 n335 down
85.99999999999939 CONN n249 n26 up
86.69999999999935 CONN n62 n69 down
87.5999999999993 CONN n157 n319 down
88.19999999999926 CONN n18 n331 up
88.69999999999924 CONN n319 n335 down
88.99999999999922 CONN n334 n225 up
89.09999999999921 CONN n69 n26 down
89.2999999999992 CONN n225 n69 down
89.3999999999992 CONN n62 n26 down
89.59999999999918 CONN n38 n19 down
90.59999999999913 CONN n157 n62 down
92.29999999999903 CONN n157 n334 down
92.59999999999901 CONN n338 n163 up
92.69999999999901 CONN n18 n101 down
93.09999999999899 CONN n225 n334 down
93.29999999999897 CONN n225 n62 down
95.09999999999887 CONN n331 n154 up
95.19999999999887 CONN n18 n154 up
95.29999999999886 CONN n249 n208 up
95.59999999999884 CONN n19 n249 down
96.59999999999879 CONN n19 n334 up
96.69999999999878 CONN n334 n335 down
96.89999999999877 CONN n358 n331 up
96.89999999999877 CONN n26 n38 up
96.99999999999876 CONN n319 n26 down
97.29999999999875 CONN n72 n65 down
97.59999999999873 CONN n225 n249 up
98.69999999999867 CONN n26 n208 up
99.49999999999862 CONN n225 n319 down
100.09999999999859 CONN n38 n26 down
100.49999999999856 CONN n225 n208 up
100.79999999999855 CONN n223 n88 up
104.19999999999835 CONN n38 n225 up
104.29999999999835 CONN n157 n335 down
104.29999999999835 CONN n19 n62 up
104.99999999999831 CONN n208 n361 down
104.99999999999831 CONN n69 n334 up
105.29999999999829 CONN n69 n319 down
106.9999999999982 CONN n334 n69 down
107.89999999999814 CONN n334 n335 up
107.99999999999814 CONN n19 n225 down
109.39999999999806 CONN n323 n320 up
109.89999999999803 CONN n69 n19 down
109.89999999999803 CONN n335 n19 up
110.19999999999801 CONN n101 n358 up
110.499999999998 CONN n38 n208 down
110.59999999999799 CONN n319 n335 up
111.09999999999796 CONN n18 n358 down
111.69999999999793 CONN n19 n208 up
112.1999999999979 CONN n152 n225 up
112.2999999999979 CONN n317 n120 up
112.69999999999787 CONN n19 n26 down
113.09999999999785 CONN n249 n38 down
113.29999999999784 CONN n163 n338 down
113.29999999999784 CONN n331 n358 down
113.49999999999783 CONN n26 n69 up
114.09999999999779 CONN n69 n249 up
115.99999999999768 CONN n225 n208 down
116.49999999999766 CONN n334 n208 up
120.29999999999744 CONN n69 n208 up
120.69999999999742 CONN n18 n331 down
120.8999999999974 CONN n208 n335 up
121.19999999999739 CONN n225 n249 down
121.39999999999738 CONN n334 n62 down
121.59999999999737 CONN n282 n225 up
121.69999999999736 CONN n354 n211 up
123.09999999999728 CONN n19 n62 down
123.09999999999728 CONN n120 n9 down
123.99999999999723 CONN n98 n77 down
124.5999999999972 CONN n319 n62 down
125.09999999999717 CONN n319 n208 up
125.29999999999715 CONN n335 n62 down
125.39999999999715 CONN n208 n69 down
125.49999999999714 CONN n26 n208 down
128.399999999997 CONN n264 n9 down
128.69999999999698 CONN n85 n62 up
129.29999999999694 CONN n334 n249 up
129.59999999999692 CONN n264 n62 up
129.8999999999969 CONN n361 n157 up
130.0999999999969 CONN n358 n101 down
130.49999999999687 CONN n249 n334 down
131.8999999999968 CONN n157 n38 up
132.09999999999678 CONN n225 n38 down
133.29999999999671 CONN n317 n120 down
133.5999999999967 CONN n18 n85 up
133.7999999999967 CONN n225 n26 down
134.29999999999666 CONN n154 n18 down
134.49999999999665 CONN n69 n225 up
134.69999999999663 CONN n18 n62 up
135.79999999999657 CONN n249 n208 down
136.19999999999655 CONN n157 n361 down
137.0999999999965 CONN n157 n26 up
137.1999999999965 CONN n284 n77 up
142.5999999999962 CONN n335 n120 up
144.59999999999607 CONN n26 n249 down
145.09999999999604 CONN n208 n120 up
145.59999999999602 CONN n120 n319 up
146.49999999999596 CONN n85 n335 up
146.69999999999595 CONN n120 n264 down
146.79999999999595 CONN n157 n69 up
146.89999999999594 CONN n26 n69 down
147.19999999999592 CONN n157 n225 up
148.09999999999587 CONN n85 n208 up
148.39999999999586 CONN n264 n85 down
148.99999999999582 CONN n120 n62 up
149.69999999999578 CONN n320 n323 down
151.69999999999567 CONN n19 n85 up
152.09999999999565 CONN n18 n62 down
152.19999999999564 CONN n62 n208 up
152.8999999999956 CONN n19 n120 up
153.49999999999557 CONN n26 n157 down
154.19999999999553 CONN n225 n249 up
154.19999999999553 CONN n335 n319 down
154.4999999999955 CONN n85 n62 down
154.5999999999955 CONN n335 n62 up
154.6999999999955 CONN n38 n157 down
154.99999999999548 CONN n334 n120 up
155.69999999999544 CONN n249 n157 up
156.69999999999538 CONN n334 n335 down
157.49999999999534 CONN n335 n62 down
157.69999999999533 CONN n18 n335 up
157.79999999999532 CONN n225 n152 down
159.29999999999524 CONN n18 n85 down
159.49999999999523 CONN n283 n273 down
160.59999999999516 CONN n120 n335 down
161.29999999999512 CONN n62 n264 down
162.29999999999507 CONN n319 n62 up
162.39999999999506 CONN n338 n163 up
163.299999999995 CONN n225 n282 down
163.79999999999498 CONN n249 n225 down
164.79999999999492 CONN n62 n208 down
166.49999999999483 CONN n85 n18 up
166.8999999999948 CONN n65 n294 up
168.09999999999474 CONN n208 n85 down
168.09999999999474 CONN n319 n334 down
169.39999999999466 CONN n19 n319 down
169.99999999999463 CONN n223 n88 down
170.99999999999457 CONN n208 n319 down
171.39999999999455 CONN n208 n335 down
172.79999999999447 CONN n225 n69 down
175.39999999999432 CONN n19 n62 up
176.69999999999425 CONN n319 n19 up
177.4999999999942 CONN n223 n88 up
177.6999999999942 CONN n62 n120 down
178.09999999999417 CONN n18 n358 up
179.79999999999407 CONN n284 n77 down
181.59999999999397 CONN n69 n157 down
182.09999999999394 CONN n62 n335 up
182.8999999999939 CONN n19 n208 down
183.49999999999386 CONN n65 n294 down
184.7999999999938 CONN n334 n19 down
185.59999999999374 CONN n85 n19 down
186.2999999999937 CONN n62 n264 up
188.49999999999358 CONN n319 n335 up
188.49999999999358 CONN n358 n18 down
189.19999999999354 CONN n69 n282 up
189.49999999999352 CONN n85 n358 up
190.49999999999346 CONN n331 n154 down
190.59999999999346 CONN n85 n358 down
190.69999999999345 CONN n157 n69 up
