1.0 C n79 M1
88.99999999999922 CONN n259 n910 up
91.1999999999991 CONN n14 n74 down
92.59999999999901 CONN n863 n905 down
93.79999999999895 CONN n341 n547 up
98.29999999999869 CONN n53 n868 down
98.39999999999868 CONN n905 n601 down
98.59999999999867 CONN n491 n483 up
98.79999999999866 CONN n483 n259 up
98.79999999999866 CONN n429 n45 up
98.99999999999865 CONN n910 n180 up
99.19999999999864 CONN n74 n360 up
99.59999999999862 CONN n595 n360 up
101.6999999999985 CONN n36 n601 down
101.6999999999985 CONN n360 n722 up
102.49999999999845 CONN n429 n398 up
104.49999999999834 CONN n843 n8 down
105.69999999999827 CONN n894 n601 down
106.19999999999824 CONN n491 n910 up
106.39999999999823 CONN n360 n8 up
107.49999999999817 CONN n868 n508 down
108.7999999999981 CONN n595 n8 down
109.39999999999806 CONN n863 n429 down
111.29999999999795 CONN n65 n868 down
111.79999999999792 CONN n852 n905 down
111.99999999999791 CONN n360 n601 up
112.99999999999785 CONN n601 n722 up
114.09999999999779 CONN n360 n595 down
114.39999999999777 CONN n8 n14 down
114.79999999999775 CONN n45 n863 up
115.99999999999768 CONN n457 n710 up
116.49999999999766 CONN n36 n905 down
117.4999999999976 CONN n894 n863 down
120.29999999999744 CONN n721 n449 up
121.19999999999739 CONN n360 n722 down
122.99999999999729 CONN n36 n14 down
123.99999999999723 CONN n45 n429 down
124.5999999999972 CONN n601 n14 down
124.69999999999719 CONN n6 n457 up
126.59999999999708 CONN n45 n36 up
129.19999999999695 CONN n74 n843 down
129.49999999999693 CONN n483 n910 up
131.5999999999968 CONN n74 n360 down
131.8999999999968 CONN n880 n220 up
133.19999999999672 CONN n894 n360 up
134.29999999999666 CONN n308 n75 down
134.49999999999665 CONN n360 n14 up
134.69999999999663 CONN n863 n894 up
135.4999999999966 CONN n863 n894 down
136.09999999999656 CONN n905 n894 down
136.49999999999653 CONN n6 n457 down
136.9999999999965 CONN n74 n595 down
139.29999999999637 CONN n710 n457 down
140.09999999999633 CONN n341 n606 up
140.29999999999632 CONN n722 n595 down
140.89999999999628 CONN n863 n398 up
141.19999999999627 CONN n901 n429 up
141.89999999999623 CONN n45 n894 up
142.69999999999618 CONN n8 n360 down
143.29999999999615 CONN n429 n398 down
144.1999999999961 CONN n825 n181 up
145.39999999999603 CONN n822 n834 up
145.59999999999602 CONN n483 n180 down
147.89999999999588 CONN n791 n595 up
148.59999999999584 CONN n483 n491 down
149.1999999999958 CONN n360 n601 down
149.3999999999958 CONN n718 n775 up
149.5999999999958 CONN n894 n14 down
149.99999999999577 CONN n721 n76 up
151.49999999999568 CONN n595 n606 up
153.19999999999558 CONN n36 n398 up
153.29999999999558 CONN n18 n606 up
153.89999999999554 CONN n76 n449 up
156.79999999999538 CONN n449 n721 down
156.89999999999537 CONN n341 n791 up
158.99999999999525 CONN n721 n76 down
159.59999999999522 CONN n18 n791 up
159.7999999999952 CONN n45 n863 down
159.9999999999952 CONN n457 n905 up
160.29999999999518 CONN n45 n457 up
161.39999999999512 CONN n180 n491 down
