1.0 C n79 M1
19436.299999997656 CONN n226 n261 down
19436.599999997652 CONN n134 n261 down
19439.59999999761 CONN n261 n264 down
19441.099999997587 CONN n156 n244 up
19460.19999999731 CONN n226 n264 down
19467.499999997202 CONN n238 n252 up
19475.89999999708 CONN n156 n244 down
19483.299999996972 CONN n238 n252 down
19483.699999996967 CONN n143 n252 up
19488.499999996897 CONN n134 n264 down
19503.199999996683 CONN n252 n143 down
19505.899999996644 CONN n134 n226 down
19511.59999999656 CONN n156 n261 up
19523.099999996393 CONN n268 n226 up
19542.799999996107 CONN n244 n180 up
19551.999999995973 CONN n143 n238 up
19555.299999995925 CONN n254 n184 up
19556.699999995904 CONN n261 n156 down
19559.09999999587 CONN n268 n186 up
19564.999999995784 CONN n226 n186 up
19569.099999995724 CONN n14 n238 up
19571.199999995693 CONN n252 n264 up
19577.5999999956 CONN n143 n238 down
19581.999999995536 CONN n139 n128 up
19582.99999999552 CONN n180 n244 down
19587.499999995456 CONN n238 n14 down
19588.399999995443 CONN n156 n134 up
19602.199999995242 CONN n226 n268 down
19603.599999995222 CONN n128 n139 down
19604.199999995213 CONN n139 n280 up
19605.299999995197 CONN n226 n186 down
19607.19999999517 CONN n264 n252 down
19610.099999995127 CONN n238 n264 up
19627.399999994876 CONN n120 n14 up
19635.799999994753 CONN n134 n156 down
19637.699999994726 CONN n14 n120 down
19638.299999994717 CONN n168 n147 up
19647.299999994586 CONN n264 n238 down
19649.09999999456 CONN n139 n280 down
19658.59999999442 CONN n168 n147 down
19679.89999999411 CONN n252 n268 up
19684.599999994043 CONN n252 n186 up
19694.299999993902 CONN n186 n268 down
19697.19999999386 CONN n156 n186 up
19698.49999999384 CONN n268 n252 down
19700.099999993818 CONN n268 n238 up
19700.099999993818 CONN n252 n156 up
19702.399999993784 CONN n254 n184 down
19721.599999993505 CONN n184 n254 up
19745.499999993157 CONN n254 n184 down
19748.999999993106 CONN n254 n184 up
19750.09999999309 CONN n238 n156 up
19754.499999993026 CONN n238 n186 up
19755.999999993004 CONN n238 n268 down
19775.899999992715 CONN n238 n252 up
19780.099999992653 CONN n301 n156 up
19780.099999992653 CONN n301 n186 up
19780.099999992653 CONN n301 n238 up
19780.29999999265 CONN n156 n252 down
19783.899999992598 CONN n252 n186 down
19791.99999999248 CONN n120 n264 up
19799.799999992367 CONN n254 n139 up
19804.2999999923 CONN n139 n184 up
19815.899999992133 CONN n301 n238 down
19816.09999999213 CONN n78 n156 up
19816.09999999213 CONN n78 n186 up
19816.09999999213 CONN n78 n238 up
19816.09999999213 CONN n78 n301 up
19816.199999992128 CONN n238 n186 down
19816.199999992128 CONN n254 n139 down
19818.299999992098 CONN n301 n186 down
19821.299999992054 CONN n184 n139 down
19835.599999991846 CONN n264 n120 down
19841.999999991753 CONN n186 n78 down
19842.999999991738 CONN n238 n252 down
19847.59999999167 CONN n156 n186 down
19849.09999999165 CONN n254 n184 down
19849.399999991645 CONN n78 n301 down
19855.399999991558 CONN n288 n212 up
19856.899999991536 CONN n156 n301 down
19861.199999991473 CONN n292 n120 up
19863.699999991437 CONN n238 n156 down
19873.0999999913 CONN n78 n238 down
19881.99999999117 CONN n292 n120 down
19884.499999991134 CONN n143 n146 up
19911.49999999074 CONN n146 n143 down
19921.399999990597 CONN n153 n226 up
19924.199999990557 CONN n178 n261 up
19932.89999999043 CONN n268 n186 up
19938.99999999034 CONN n268 n292 up
19941.699999990302 CONN n226 n153 down
19947.499999990217 CONN n186 n292 up
19948.09999999021 CONN n313 n307 up
19954.79999999011 CONN n288 n212 down
19955.899999990095 CONN n178 n261 down
19976.699999989793 CONN n120 n186 up
19981.09999998973 CONN n292 n186 down
19993.799999989544 CONN n186 n268 down
20003.7999999894 CONN n268 n292 down
20017.699999989196 CONN n292 n78 up
20023.799999989107 CONN n292 n156 up
20025.499999989082 CONN n220 n239 up
20028.099999989045 CONN n186 n268 up
20032.099999988986 CONN n318 n317 up
20034.399999988953 CONN n120 n268 up
20048.799999988743 CONN n302 n186 up
20052.899999988684 CONN n178 n134 up
20056.399999988633 CONN n252 n153 up
20062.09999998855 CONN n120 n186 down
20065.4999999885 CONN n239 n220 down
20069.099999988448 CONN n292 n78 down
20072.099999988404 CONN n323 n120 up
20072.099999988404 CONN n323 n268 up
20072.099999988404 CONN n323 n186 up
20072.099999988404 CONN n323 n302 up
20072.99999998839 CONN n186 n302 down
20075.79999998835 CONN n292 n156 down
20078.49999998831 CONN n153 n252 down
20078.69999998831 CONN n317 n318 down
20085.49999998821 CONN n238 n153 up
20089.299999988154 CONN n268 n302 up
20090.399999988138 CONN n298 n328 up
20092.19999998811 CONN n178 n134 down
20096.49999998805 CONN n186 n323 down
20098.899999988014 CONN n292 n227 up
20106.09999998791 CONN n120 n302 up
20110.19999998785 CONN n268 n120 down
20112.099999987822 CONN n329 n322 up
20118.099999987735 CONN n238 n153 down
20119.599999987713 CONN n176 n322 up
20119.89999998771 CONN n301 n168 up
20119.89999998771 CONN n176 n329 up
20125.099999987633 CONN n186 n268 down
20127.499999987598 CONN n268 n302 down
20128.79999998758 CONN n120 n78 up
20143.999999987358 CONN n150 n145 up
20143.999999987358 CONN n227 n292 down
20145.399999987338 CONN n78 n156 down
20146.099999987327 CONN n307 n313 down
20147.9999999873 CONN n78 n302 up
20154.999999987198 CONN n145 n150 down
20158.099999987153 CONN n323 n120 down
20160.699999987115 CONN n323 n78 up
20161.09999998711 CONN n14 n210 up
20164.699999987057 CONN n328 n298 down
20165.19999998705 CONN n156 n120 up
20171.29999998696 CONN n302 n323 down
20171.499999986958 CONN n328 n303 up
20171.99999998695 CONN n168 n301 down
20176.19999998689 CONN n78 n156 up
20181.099999986818 CONN n186 n268 up
20181.199999986817 CONN n156 n302 up
20182.099999986804 CONN n329 n322 down
20186.799999986735 CONN n323 n186 up
20190.099999986687 CONN n131 n175 up
20190.59999998668 CONN n238 n252 up
20190.69999998668 CONN n14 n210 down
20194.899999986617 CONN n333 n153 up
20195.099999986614 CONN n78 n323 down
20196.399999986596 CONN n307 n313 up
20197.199999986584 CONN n208 n200 up
20199.999999986543 CONN n322 n176 down
20200.19999998654 CONN n186 n158 up
20200.599999986534 CONN n328 n303 down
20207.499999986434 CONN n238 n252 down
20207.999999986427 CONN n78 n120 down
20209.299999986408 CONN n302 n78 down
20209.7999999864 CONN n323 n268 down
20211.19999998638 CONN n146 n217 up
20212.099999986367 CONN n313 n307 down
20217.29999998629 CONN n175 n131 down
20223.4999999862 CONN n208 n200 down
20225.499999986172 CONN n156 n302 down
20226.099999986163 CONN n164 n243 up
20230.3999999861 CONN n120 n156 down
20231.599999986083 CONN n323 n158 up
20234.799999986037 CONN n298 n303 up
20235.19999998603 CONN n230 n292 up
20236.399999986013 CONN n227 n302 up
20240.299999985957 CONN n227 n120 up
20247.899999985846 CONN n164 n243 down
20248.89999998583 CONN n268 n158 up
20260.59999998566 CONN n307 n313 up
20261.799999985644 CONN n153 n333 down
20263.39999998562 CONN n14 n288 up
20264.09999998561 CONN n292 n333 up
20268.799999985542 CONN n292 n230 down
20268.799999985542 CONN n323 n186 down
20274.39999998546 CONN n323 n158 down
20275.89999998544 CONN n329 n176 down
20277.19999998542 CONN n247 n303 up
20277.999999985408 CONN n153 n292 up
20280.49999998537 CONN n153 n333 up
20280.899999985366 CONN n247 n298 up
20284.499999985313 CONN n302 n120 down
20286.09999998529 CONN n14 n288 down
20289.399999985242 CONN n166 n242 up
20289.59999998524 CONN n302 n227 down
20289.699999985238 CONN n333 n292 down
20290.099999985232 CONN n313 n307 down
20294.599999985167 CONN n137 n146 up
20298.299999985113 CONN n268 n158 down
20298.799999985105 CONN n247 n303 down
20300.399999985082 CONN n303 n247 up
20301.29999998507 CONN n153 n292 down
20305.499999985008 CONN n242 n166 down
20307.199999984983 CONN n158 n78 up
20311.399999984922 CONN n268 n186 down
20312.29999998491 CONN n247 n298 down
20315.59999998486 CONN n303 n298 down
20318.29999998482 CONN n137 n217 up
20318.799999984814 CONN n158 n156 up
20331.39999998463 CONN n78 n146 up
20332.399999984616 CONN n303 n247 down
20333.899999984595 CONN n156 n78 down
20333.899999984595 CONN n137 n78 up
20334.599999984584 CONN n158 n186 down
20335.299999984574 CONN n192 n128 up
20336.499999984557 CONN n153 n230 up
20351.39999998434 CONN n158 n146 up
20357.399999984253 CONN n182 n131 up
20359.299999984225 CONN n78 n217 up
20359.399999984224 CONN n158 n146 down
20359.499999984222 CONN n120 n227 down
20360.099999984213 CONN n158 n78 down
20361.399999984194 CONN n230 n302 up
20361.79999998419 CONN n146 n217 down
20363.399999984165 CONN n230 n153 down
20368.59999998409 CONN n146 n156 up
20371.799999984043 CONN n131 n182 down
20381.799999983898 CONN n158 n227 up
20388.299999983803 CONN n137 n156 up
20388.999999983793 CONN n158 n156 down
20389.89999998378 CONN n78 n146 down
20397.099999983675 CONN n247 n303 up
20400.499999983625 CONN n120 n230 up
20401.099999983617 CONN n217 n137 down
20403.199999983586 CONN n168 n302 up
20408.899999983503 CONN n333 n230 up
20411.499999983465 CONN n302 n230 down
20411.599999983464 CONN n333 n153 down
20412.399999983452 CONN n137 n217 up
20415.19999998341 CONN n265 n329 up
20416.499999983393 CONN n137 n78 down
20418.299999983366 CONN n329 n265 down
20419.299999983352 CONN n217 n156 up
20423.49999998329 CONN n208 n185 up
20425.899999983256 CONN n227 n146 up
20426.599999983246 CONN n156 n78 up
20428.39999998322 CONN n146 n156 down
20431.19999998318 CONN n120 n333 up
20431.299999983177 CONN n280 n128 up
20432.49999998316 CONN n280 n192 up
20432.699999983157 CONN n158 n227 down
20436.4999999831 CONN n208 n185 down
20438.299999983075 CONN n336 n210 up
20452.29999998287 CONN n217 n78 down
20457.79999998279 CONN n329 n145 up
20459.19999998277 CONN n137 n156 down
20460.499999982752 CONN n156 n78 down
20464.0999999827 CONN n329 n145 down
20464.499999982694 CONN n215 n186 up
20466.399999982666 CONN n137 n227 up
20472.799999982573 CONN n333 n158 up
20483.29999998242 CONN n158 n230 up
20483.39999998242 CONN n210 n336 down
20484.5999999824 CONN n288 n336 up
20485.099999982394 CONN n359 n261 up
20487.999999982352 CONN n302 n168 down
20489.299999982333 CONN n153 n120 up
20489.59999998233 CONN n217 n156 down
20493.199999982276 CONN n158 n120 up
20496.799999982224 CONN n227 n217 up
20499.299999982188 CONN n217 n137 down
20499.89999998218 CONN n150 n298 up
20501.599999982154 CONN n78 n208 up
