1.0 C n79 M1
5.099999999999998 CONN n270 n373 up
8.099999999999987 CONN n154 n373 up
8.099999999999987 CONN n150 n373 up
8.099999999999987 CONN n150 n270 up
8.099999999999987 CONN n150 n154 up
8.899999999999984 CONN n270 n373 down
9.099999999999984 CONN n92 n373 up
9.099999999999984 CONN n92 n270 up
9.099999999999984 CONN n92 n154 up
9.099999999999984 CONN n92 n150 up
9.099999999999984 CONN n303 n270 up
9.099999999999984 CONN n303 n150 up
9.099999999999984 CONN n228 n270 up
9.099999999999984 CONN n228 n150 up
9.099999999999984 CONN n228 n92 up
9.099999999999984 CONN n228 n303 up
9.699999999999982 CONN n154 n92 down
11.099999999999977 CONN n158 n373 up
11.099999999999977 CONN n158 n270 up
11.099999999999977 CONN n158 n154 up
11.099999999999977 CONN n158 n150 up
11.099999999999977 CONN n158 n303 up
11.099999999999977 CONN n41 n373 up
11.099999999999977 CONN n41 n270 up
11.099999999999977 CONN n41 n154 up
11.099999999999977 CONN n41 n150 up
11.099999999999977 CONN n41 n92 up
11.099999999999977 CONN n41 n303 up
11.099999999999977 CONN n41 n228 up
11.099999999999977 CONN n41 n158 up
12.299999999999972 CONN n158 n228 up
13.09999999999997 CONN n191 n35 up
13.09999999999997 CONN n39 n373 up
13.09999999999997 CONN n39 n270 up
13.09999999999997 CONN n39 n154 up
13.09999999999997 CONN n39 n150 up
13.09999999999997 CONN n39 n303 up
13.09999999999997 CONN n39 n228 up
13.09999999999997 CONN n39 n158 up
13.09999999999997 CONN n39 n34 up
13.09999999999997 CONN n39 n41 up
13.09999999999997 CONN n339 n373 up
13.09999999999997 CONN n339 n270 up
13.09999999999997 CONN n339 n154 up
13.09999999999997 CONN n339 n150 up
13.09999999999997 CONN n339 n92 up
13.09999999999997 CONN n339 n303 up
13.09999999999997 CONN n339 n228 up
13.09999999999997 CONN n339 n158 up
13.09999999999997 CONN n339 n41 up
13.09999999999997 CONN n339 n39 up
13.899999999999967 CONN n303 n41 down
15.299999999999962 CONN n154 n39 down
15.499999999999961 CONN n373 n92 down
16.399999999999963 CONN n158 n303 down
18.099999999999987 CONN n273 n290 up
18.099999999999987 CONN n252 n270 up
18.099999999999987 CONN n252 n150 up
18.099999999999987 CONN n252 n92 up
18.099999999999987 CONN n252 n228 up
18.099999999999987 CONN n252 n41 up
18.099999999999987 CONN n252 n339 up
18.099999999999987 CONN n192 n106 up
19.0 CONN n373 n39 down
19.0 CONN n39 n41 down
20.000000000000014 CONN n211 n270 up
20.000000000000014 CONN n211 n303 up
20.000000000000014 CONN n211 n228 up
20.000000000000014 CONN n211 n39 up
20.600000000000023 CONN n192 n106 down
20.800000000000026 CONN n150 n303 down
21.00000000000003 CONN n13 n191 up
21.00000000000003 CONN n13 n35 up
21.300000000000033 CONN n158 n34 up
21.70000000000004 CONN n92 n270 down
22.40000000000005 CONN n158 n41 down
22.800000000000054 CONN n92 n228 down
22.900000000000055 CONN n252 n154 up
23.000000000000057 CONN n19 n68 up
23.000000000000057 CONN n358 n142 up
24.100000000000072 CONN n373 n41 down
24.400000000000077 CONN n39 n150 down
24.500000000000078 CONN n339 n211 up
26.0000000000001 CONN n373 n150 down
26.0000000000001 CONN n10 n270 up
26.0000000000001 CONN n10 n303 up
26.0000000000001 CONN n10 n228 up
26.0000000000001 CONN n10 n158 up
26.0000000000001 CONN n10 n34 up
26.0000000000001 CONN n10 n39 up
26.0000000000001 CONN n10 n339 up
26.0000000000001 CONN n10 n211 up
26.0000000000001 CONN n136 n260 up
26.0000000000001 CONN n379 n107 up
27.000000000000114 CONN n142 n376 up
27.600000000000122 CONN n150 n158 down
27.600000000000122 CONN n136 n260 down
