1.0 C n153 M1
20443.999999982992 CONN n302 n168 up
20454.59999998284 CONN n120 n333 up
20455.89999998282 CONN n192 n280 up
20457.0999999828 CONN n280 n128 up
20457.699999982793 CONN n210 n336 up
20459.699999982764 CONN n168 n302 down
20460.799999982748 CONN n230 n120 up
20461.29999998274 CONN n120 n333 down
20463.099999982715 CONN n146 n227 up
20466.19999998267 CONN n280 n192 down
20467.299999982653 CONN n210 n336 down
20469.999999982614 CONN n128 n280 down
20475.999999982527 CONN n247 n303 up
20479.29999998248 CONN n128 n192 down
20481.699999982444 CONN n227 n146 down
20484.09999998241 CONN n120 n230 down
20492.29999998229 CONN n137 n227 up
20495.499999982243 CONN n333 n158 up
20502.099999982147 CONN n227 n137 down
20503.499999982127 CONN n230 n158 up
20506.499999982083 CONN n333 n158 down
20506.499999982083 CONN n303 n247 down
20507.199999982073 CONN n288 n336 up
20510.89999998202 CONN n336 n288 down
20511.39999998201 CONN n298 n150 up
20514.399999981968 CONN n158 n230 down
20517.09999998193 CONN n150 n298 down
20520.999999981872 CONN n158 n153 up
20525.599999981805 CONN n158 n153 down
20543.89999998154 CONN n164 n254 up
20553.299999981402 CONN n280 n128 up
20554.399999981386 CONN n146 n333 up
20556.699999981352 CONN n254 n164 down
20561.299999981286 CONN n137 n333 up
20563.399999981255 CONN n333 n146 down
20574.899999981088 CONN n298 n207 up
20575.599999981077 CONN n315 n246 up
20577.799999981045 CONN n137 n333 down
20583.09999998097 CONN n207 n298 down
20583.199999980967 CONN n315 n246 down
20591.29999998085 CONN n280 n128 down
20597.39999998076 CONN n137 n146 up
20601.199999980705 CONN n153 n146 up
20605.199999980647 CONN n137 n153 up
20608.099999980604 CONN n146 n153 down
20611.599999980554 CONN n137 n153 down
20616.899999980476 CONN n178 n180 up
20618.199999980458 CONN n210 n323 up
20621.199999980414 CONN n210 n323 down
20628.199999980312 CONN n131 n147 up
20631.69999998026 CONN n147 n131 down
20635.09999998021 CONN n178 n180 down
20646.79999998004 CONN n313 n307 up
20646.99999998004 CONN n146 n137 down
20649.999999979995 CONN n150 n303 up
20654.599999979928 CONN n230 n137 up
20655.79999997991 CONN n303 n150 down
20658.099999979877 CONN n373 n120 up
20670.89999997969 CONN n307 n313 down
20672.19999997967 CONN n360 n114 up
20676.299999979612 CONN n230 n137 down
20678.49999997958 CONN n373 n120 down
20683.9999999795 CONN n371 n180 up
20684.79999997949 CONN n360 n114 down
20688.09999997944 CONN n207 n303 up
20691.999999979384 CONN n180 n371 down
20694.599999979346 CONN n207 n303 down
20702.099999979237 CONN n371 n178 up
20708.499999979143 CONN n78 n219 up
20709.699999979126 CONN n153 n208 up
20714.099999979062 CONN n178 n371 down
